딜ID,회사명,산업,섹터,본사지역,설립연도,임직원수,펀드명,펀드유형,빈티지,담당파트너,딜상태,투자일자,투자금액(억원),지분율(%),매출(억원),EBITDA(억원),EBITDA마진(%),순부채(억원),기업가치EV(억원),진입 EV/EBITDA(x),진입 EV/Revenue(x),보유기간(년),현재평가가치(억원),MOIC(x),Gross IRR(%),회수일자,회수금액(억원),회수방식
DL-00036,디에이치랩스,IT/소프트웨어,핀테크,울산,2013,1380,세컨더리 1호,Secondary,2023,서지원,투자완료(Active),2024-04-29,598.1,64.3,664,85.0,12.8,154.8,1011.4,11.9,1.52,2.1,778.7,1.3,13.3,,,
DL-00037,서연로지스틱스,물류/유통,콜드체인,광주,1996,137,벤처그로쓰 1호,Venture,2020,이서준,투자완료(Active),2020-07-24,60.1,86.6,65,9.6,14.7,39.6,104.1,10.9,1.6,5.9,82.1,1.37,5.5,,,
DL-00038,한라서비스,B2B서비스,시설관리,해외(싱가포르),2016,574,바이아웃 2호 PEF,Buyout,2021,남기훈,회수완료(Exited),2021-08-22,436.4,85.8,213,36.0,16.9,66.8,529.2,14.7,2.48,1.9,,2.32,55.2,2023-07-21,1010.6,전략적매각(M&A)
DL-00039,삼정바이오,바이오/헬스케어,CRO/CDMO,해외(싱가포르),1999,1398,그로쓰 2호 PEF,Growth,2019,한승우,투자완료(Active),2025-05-18,1338.4,69.7,802,295.1,36.8,694.8,2361.1,8.0,2.94,1.1,1628.0,1.22,20.2,,,
DL-00040,서연테크,IT/소프트웨어,핀테크,인천,2015,612,그로쓰 3호 PEF,Growth,2022,김도현,투자심의(IC),,,,265,78.7,29.7,214.4,944.5,12.0,3.56,,,,,,,
DL-00041,케이로지스틱스,물류/유통,이커머스,인천,1989,1366,그로쓰 3호 PEF,Growth,2022,최예린,회수완료(Exited),2024-04-04,2672.6,95.4,930,346.0,37.2,762.1,3252.0,9.4,3.5,2.2,,1.7,27.5,2026-06-10,4542.6,Recap/배당
DL-00042,한국에너지,에너지/환경,전력/전기,서울,2002,936,그로쓰 1호 PEF,Growth,2016,배준영,투자완료(Active),2022-07-25,386.3,54.9,663,73.6,11.1,166.0,750.6,10.2,1.13,3.9,1112.1,2.88,31.4,,,
DL-00043,코리아엔터,미디어/콘텐츠,엔터테인먼트,경북,2003,830,벤처그로쓰 1호,Venture,2020,윤지호,투자완료(Active),2020-08-25,1074.6,97.6,613,193.7,31.6,46.1,1046.0,5.4,1.71,5.8,3915.7,3.64,25.0,,,
DL-00044,케이서비스,B2B서비스,MRO,서울,2013,1560,벤처그로쓰 1호,Venture,2020,오세훈,투자완료(Active),2020-09-05,466.0,22.3,668,161.7,24.2,506.4,2311.7,14.3,3.46,5.8,1483.1,3.18,22.3,,,
DL-00045,가온커머스,물류/유통,3PL물류,서울,1994,1182,그로쓰 2호 PEF,Growth,2019,임수빈,회수완료(Exited),2021-09-25,239.5,56.5,400,91.2,22.8,293.1,702.2,7.7,1.76,2.6,,3.71,66.8,2024-04-19,889.8,전략적매각(M&A)
DL-00046,대명솔루션,IT/소프트웨어,정보보안,경기,2004,2602,바이아웃 2호 PEF,Buyout,2021,고은채,소싱(Sourcing),,,,1395,392.0,28.1,1199.1,5370.3,13.7,3.85,,,,,,,
DL-00047,에스이엔지,에너지/환경,수처리,경남,2011,6403,바이아웃 1호 PEF,Buyout,2017,오세훈,투자심의(IC),,,,2165,400.5,18.5,1906.6,4646.1,11.6,2.15,,,,,,,
DL-00048,신성금융,금융서비스,여신전문,해외(베트남),2013,351,벤처그로쓰 1호,Venture,2020,고은채,소싱(Sourcing),,,,154,29.1,18.9,27.7,168.8,5.8,1.1,,,,,,,
DL-00049,코리아파트너스,B2B서비스,MRO,경남,2003,837,그로쓰 1호 PEF,Growth,2016,오세훈,소싱(Sourcing),,,,360,97.9,27.2,297.6,1341.5,13.7,3.73,,,,,,,
DL-00050,코리아산업,제조/소재,자동차부품,서울,2018,431,벤처그로쓰 1호,Venture,2020,윤지호,스크리닝(Screening),,,,263,29.7,11.3,61.6,202.1,6.8,0.77,,,,,,,
DL-00051,중앙푸드,소비재,리테일,서울,2001,4963,세컨더리 1호,Secondary,2023,서지원,스크리닝(Screening),,,,5157,1098.4,21.3,2371.6,8677.7,7.9,1.68,,,,,,,
DL-00052,성안파워,에너지/환경,전력/전기,대전,2009,795,세컨더리 1호,Secondary,2023,고은채,실사(DD),,,,303,46.7,15.4,6.1,559.9,12.0,1.85,,,,,,,
DL-00053,한국콘텐츠,미디어/콘텐츠,엔터테인먼트,경남,2003,947,그로쓰 1호 PEF,Growth,2016,오세훈,투자완료(Active),2024-06-21,1368.3,77.7,701,232.0,33.1,158.8,1670.6,7.2,2.38,2.0,4007.1,2.93,72.6,,,
DL-00054,세진테크,제조/소재,정밀화학,서울,2003,409,벤처그로쓰 1호,Venture,2020,남기훈,소싱(Sourcing),,,,255,30.6,12.0,173.0,394.7,12.9,1.55,,,,,,,
DL-00055,광림이엔지,B2B서비스,엔지니어링,서울,2006,2233,세컨더리 1호,Secondary,2023,배준영,실사(DD),,,,976,74.2,7.6,104.6,927.2,12.5,0.95,,,,,,,
DL-00056,동방게임즈,미디어/콘텐츠,엔터테인먼트,서울,2001,719,그로쓰 2호 PEF,Growth,2019,임수빈,투자심의(IC),,,,842,319.1,37.9,227.6,1946.6,6.1,2.31,,,,,,,
DL-00057,중앙매니지먼트,B2B서비스,엔지니어링,서울,2004,553,그로쓰 2호 PEF,Growth,2019,서지원,회수완료(Exited),2021-08-19,88.2,91.0,524,34.6,6.6,93.0,186.8,5.4,0.36,4.0,,2.66,27.4,2025-09-03,235.0,구주매출
DL-00058,성안바이오,바이오/헬스케어,디지털헬스,경북,2008,295,스페셜시츄에이션 1호,Special Situation,2018,최예린,소싱(Sourcing),,,,184,24.5,13.3,103.2,210.5,8.6,1.14,,,,,,,
DL-00059,정밀이엔지,에너지/환경,신재생에너지,서울,1990,1087,그로쓰 2호 PEF,Growth,2019,고은채,회수완료(Exited),2020-05-30,580.3,83.0,814,210.8,25.9,431.3,1096.3,5.2,1.35,6.0,,2.48,16.3,2026-06-10,1439.0,전략적매각(M&A)
DL-00060,대명코스메틱,소비재,패션/리빙,충남,1994,1715,그로쓰 1호 PEF,Growth,2016,최예린,회수완료(Exited),2022-08-08,592.0,45.9,677,239.0,35.3,269.7,1505.6,6.3,2.22,1.8,,1.16,8.9,2024-05-23,689.4,IPO
DL-00061,에스시스템,IT/소프트웨어,데이터/AI,경기,1987,1526,그로쓰 2호 PEF,Growth,2019,임수빈,투자완료(Active),2023-10-13,351.6,74.9,573,157.6,27.5,417.0,835.1,5.3,1.46,2.7,264.6,0.75,-10.1,,,
DL-00062,한라랩스,IT/소프트웨어,핀테크,부산,2018,477,벤처그로쓰 1호,Venture,2020,윤지호,보류/철회(Dropped),,,,213,42.8,20.1,31.6,552.3,12.9,2.59,,,,,,,
DL-00063,케이파트너스,B2B서비스,시설관리,경남,2010,397,스페셜시츄에이션 1호,Special Situation,2018,강태호,회수완료(Exited),2023-04-27,203.2,25.4,350,69.7,19.9,152.5,814.9,11.7,2.33,2.0,,1.56,24.6,2025-05-03,316.9,재무적매각(Secondary)
DL-00064,대한파마,바이오/헬스케어,CRO/CDMO,해외(미국),2007,100,벤처그로쓰 1호,Venture,2020,서지원,소싱(Sourcing),,,,98,6.7,6.8,8.2,52.6,7.9,0.54,,,,,,,
DL-00065,신성파트너스,B2B서비스,시설관리,서울,2008,440,그로쓰 2호 PEF,Growth,2019,강태호,회수완료(Exited),2025-03-30,41.6,22.1,177,22.8,12.9,59.6,212.3,9.3,1.2,1.2,,2.23,95.8,2026-06-10,93.0,재무적매각(Secondary)
DL-00066,글로벌로지스틱스,물류/유통,콜드체인,서울,1989,153,그로쓰 3호 PEF,Growth,2022,오세훈,투자완료(Active),2023-11-30,21.3,32.6,89,5.4,6.1,7.3,67.9,12.5,0.76,2.5,58.8,2.76,49.5,,,
DL-00067,대명파마,바이오/헬스케어,의료기기,서울,2012,677,그로쓰 2호 PEF,Growth,2019,최예린,투자완료(Active),2022-03-06,569.8,74.3,388,56.6,14.6,40.3,708.1,12.5,1.82,4.3,917.8,1.61,11.8,,,
DL-00068,제이식품,소비재,리테일,서울,2001,550,바이아웃 2호 PEF,Buyout,2021,정우성,투자완료(Active),2022-04-17,394.2,60.0,279,62.5,22.4,37.5,581.2,9.3,2.08,4.1,1110.4,2.82,28.4,,,
DL-00069,삼정엔터,미디어/콘텐츠,교육,경기,2014,238,벤처그로쓰 1호,Venture,2020,박민재,회수완료(Exited),2021-11-13,228.8,82.3,154,35.9,23.3,50.1,322.9,9.0,2.1,4.6,,1.04,0.9,2026-06-10,238.6,재무적매각(Secondary)
DL-00070,서연에너지,에너지/환경,폐기물처리,서울,1989,794,바이아웃 1호 PEF,Buyout,2017,박민재,투자완료(Active),2024-02-16,671.5,98.9,389,122.9,31.6,539.6,1167.8,9.5,3.0,2.3,1689.3,2.52,49.0,,,
DL-00071,디에이치페이,금융서비스,여신전문,부산,2017,263,바이아웃 2호 PEF,Buyout,2021,오세훈,소싱(Sourcing),,,,119,7.5,6.3,9.4,65.2,8.7,0.55,,,,,,,
DL-00072,제이랩스,IT/소프트웨어,시스템통합,경기,2021,585,그로쓰 1호 PEF,Growth,2016,임수빈,회수완료(Exited),2025-05-22,434.2,47.5,570,123.1,21.6,24.8,800.3,6.5,1.4,1.1,,2.15,107.5,2026-06-10,935.2,Recap/배당
DL-00073,글로벌에셋,금융서비스,자산관리,전남,1988,2039,스페셜시츄에이션 1호,Special Situation,2018,윤지호,투자완료(Active),2025-05-13,455.5,97.2,1431,104.5,7.3,209.1,616.3,5.9,0.43,1.1,489.2,1.07,6.9,,,
DL-00074,제이엔터,미디어/콘텐츠,광고/마케팅,경기,1993,4162,스페셜시츄에이션 1호,Special Situation,2018,서지원,투자완료(Active),2022-10-01,3095.9,60.7,1874,579.1,30.9,1813.7,6890.9,11.9,3.68,3.7,3051.6,0.99,-0.4,,,
DL-00075,신성코스메틱,소비재,화장품,서울,2018,159,그로쓰 2호 PEF,Growth,2019,한승우,투자완료(Active),2020-11-09,176.3,77.7,138,43.9,31.8,52.1,276.5,6.3,2.0,5.6,198.3,1.13,2.1,,,
DL-00076,대명페이,금융서비스,인슈어테크,서울,2015,2181,바이아웃 1호 PEF,Buyout,2017,최예린,보류/철회(Dropped),,,,875,251.1,28.7,592.0,2687.0,10.7,3.07,,,,,,,
DL-00077,우진미디어,미디어/콘텐츠,교육,충남,2015,2105,그로쓰 3호 PEF,Growth,2022,고은채,스크리닝(Screening),,,,1475,126.8,8.6,728.8,1712.5,13.5,1.16,,,,,,,
DL-00078,에스파마,바이오/헬스케어,체외진단,서울,1999,1230,스페셜시츄에이션 1호,Special Situation,2018,이서준,회수완료(Exited),2020-07-08,458.1,22.3,1256,237.4,18.9,398.8,2065.2,8.7,1.64,5.9,,2.46,16.4,2026-06-10,1126.0,전략적매각(M&A)
DL-00079,삼정헬스케어,바이오/헬스케어,제약,대전,2013,7673,그로쓰 3호 PEF,Growth,2022,배준영,투자완료(Active),2025-05-31,649.4,62.2,2675,152.5,5.7,82.1,1097.8,7.2,0.41,1.0,827.1,1.27,26.6,,,
DL-00080,케이케미칼,제조/소재,산업기계,충남,2016,819,세컨더리 1호,Secondary,2023,이서준,소싱(Sourcing),,,,470,108.1,23.0,57.4,799.9,7.4,1.7,,,,,,,
DL-00081,아이엠파워,에너지/환경,폐기물처리,서울,1989,5097,그로쓰 2호 PEF,Growth,2019,한승우,보류/철회(Dropped),,,,1873,608.7,32.5,62.5,6148.1,10.1,3.28,,,,,,,
DL-00082,글로벌소재,제조/소재,2차전지소재,광주,2000,953,벤처그로쓰 1호,Venture,2020,배준영,소싱(Sourcing),,,,1062,339.8,32.0,700.6,4214.0,12.4,3.97,,,,,,,
DL-00083,광림파트너스,B2B서비스,엔지니어링,해외(싱가포르),1993,1050,세컨더리 1호,Secondary,2023,서지원,스크리닝(Screening),,,,368,23.9,6.5,3.5,167.4,7.0,0.46,,,,,,,
DL-00084,광림매니지먼트,B2B서비스,MRO,경기,2003,236,그로쓰 1호 PEF,Growth,2016,배준영,투자완료(Active),2020-06-26,392.9,79.5,147,51.9,35.3,26.8,430.7,8.3,2.93,6.0,613.0,1.56,7.8,,,
DL-00085,세진서비스,B2B서비스,엔지니어링,광주,1996,950,그로쓰 2호 PEF,Growth,2019,윤지호,투자완료(Active),2023-10-12,126.7,33.3,447,34.9,7.8,62.0,404.4,11.6,0.9,2.7,174.0,1.37,12.7,,,
DL-00086,한라에너지,에너지/환경,수처리,서울,1995,1384,스페셜시츄에이션 1호,Special Situation,2018,강태호,투자완료(Active),2022-04-18,180.1,96.0,862,53.4,6.2,118.6,304.6,5.7,0.35,4.1,183.3,1.02,0.4,,,
DL-00087,에스에너지,에너지/환경,전력/전기,인천,2002,531,벤처그로쓰 1호,Venture,2020,윤지호,실사(DD),,,,261,80.1,30.7,155.0,801.3,10.0,3.07,,,,,,,
DL-00088,유진커머스,물류/유통,콜드체인,서울,2016,706,바이아웃 2호 PEF,Buyout,2021,남기훈,회수완료(Exited),2024-10-28,93.9,97.4,236,17.9,7.6,42.9,120.2,6.7,0.51,1.6,,1.69,38.3,2026-06-10,158.5,구주매출
DL-00089,보광물류,물류/유통,콜드체인,대전,1999,391,그로쓰 3호 PEF,Growth,2022,배준영,투자심의(IC),,,,194,19.2,9.9,3.3,247.8,12.9,1.28,,,,,,,
DL-00090,세진그린텍,에너지/환경,수처리,서울,2015,1060,그로쓰 2호 PEF,Growth,2019,이서준,실사(DD),,,,479,161.9,33.8,448.7,922.8,5.7,1.93,,,,,,,
DL-00091,동성금융,금융서비스,결제,경기,2012,482,그로쓰 3호 PEF,Growth,2022,배준영,보류/철회(Dropped),,,,417,142.2,34.1,220.6,1450.4,10.2,3.48,,,,,,,
DL-00092,누리리빙,소비재,패션/리빙,경북,2020,334,바이아웃 2호 PEF,Buyout,2021,정우성,투자완료(Active),2024-04-04,63.5,32.3,159,42.1,26.5,79.7,248.6,5.9,1.56,2.2,146.2,2.3,46.5,,,
DL-00093,동방산업,제조/소재,자동차부품,제주,2021,819,바이아웃 2호 PEF,Buyout,2021,서지원,스크리닝(Screening),,,,282,63.2,22.4,103.4,713.8,11.3,2.53,,,,,,,
DL-00094,세진페이,금융서비스,자산관리,서울,2013,474,그로쓰 2호 PEF,Growth,2019,남기훈,소싱(Sourcing),,,,316,53.4,16.9,147.2,341.8,6.4,1.08,,,,,,,
DL-00095,신성이엔지,에너지/환경,수처리,경기,1992,538,그로쓰 2호 PEF,Growth,2019,강태호,스크리닝(Screening),,,,250,21.0,8.4,31.9,165.9,7.9,0.66,,,,,,,
DL-00096,광림리빙,소비재,화장품,강원,2016,1719,벤처그로쓰 1호,Venture,2020,정우성,투자완료(Active),2023-04-09,355.3,48.2,1293,106.0,8.2,215.7,943.6,8.9,0.73,3.2,540.8,1.52,14.2,,,
DL-00097,가온파이낸셜,금융서비스,인슈어테크,경북,2008,1547,스페셜시츄에이션 1호,Special Situation,2018,박민재,회수완료(Exited),2018-10-29,797.1,50.9,767,145.7,19.0,151.8,1559.3,10.7,2.03,4.6,,2.24,19.3,2023-05-29,1788.3,IPO
DL-00098,세진스튜디오,미디어/콘텐츠,엔터테인먼트,인천,2017,668,벤처그로쓰 1호,Venture,2020,배준영,스크리닝(Screening),,,,344,22.0,6.4,107.1,266.4,12.1,0.77,,,,,,,
DL-00099,현우파마,바이오/헬스케어,CRO/CDMO,서울,2004,998,벤처그로쓰 1호,Venture,2020,박민재,투자심의(IC),,,,541,123.3,22.8,343.7,1221.1,9.9,2.26,,,,,,,
DL-00100,코리아케미칼,제조/소재,정밀화학,서울,1986,643,스페셜시츄에이션 1호,Special Situation,2018,오세훈,실사(DD),,,,495,138.1,27.9,587.2,2030.1,14.7,4.1,,,,,,,
DL-00101,디에이치정밀,제조/소재,철강금속,인천,2000,810,스페셜시츄에이션 1호,Special Situation,2018,박민재,회수완료(Exited),2018-09-13,403.7,76.5,287,83.8,29.2,295.5,762.6,9.1,2.66,4.6,,1.28,5.5,2023-05-05,518.4,구주매출
DL-00102,우진게임즈,미디어/콘텐츠,엔터테인먼트,전남,2001,1464,벤처그로쓰 1호,Venture,2020,한승우,실사(DD),,,,498,67.7,13.6,80.7,717.9,10.6,1.44,,,,,,,
DL-00103,유진물류,물류/유통,콜드체인,대전,2020,704,세컨더리 1호,Secondary,2023,강태호,투자완료(Active),2025-03-02,316.0,84.4,271,77.8,28.7,335.4,684.4,8.8,2.53,1.3,297.6,0.94,-4.6,,,
DL-00104,성안이엔지,에너지/환경,수처리,광주,2002,185,바이아웃 1호 PEF,Buyout,2017,정우성,회수완료(Exited),2024-02-27,46.7,38.6,94,24.0,25.5,59.4,177.4,7.4,1.89,2.3,,2.31,44.2,2026-06-10,107.8,전략적매각(M&A)
DL-00105,중앙정밀,제조/소재,철강금속,경기,2003,365,세컨더리 1호,Secondary,2023,임수빈,투자완료(Active),2025-01-10,254.4,88.0,185,68.1,36.8,115.3,401.7,5.9,2.17,1.4,655.6,2.58,95.5,,,
DL-00106,광림헬스케어,바이오/헬스케어,제약,충남,2003,905,그로쓰 3호 PEF,Growth,2022,남기훈,보류/철회(Dropped),,,,454,178.9,39.4,690.0,1395.2,7.8,3.07,,,,,,,
DL-00107,보광금융,금융서비스,자산관리,경기,1995,1612,바이아웃 1호 PEF,Buyout,2017,배준영,소싱(Sourcing),,,,1113,336.1,30.2,288.9,1714.2,5.1,1.54,,,,,,,
DL-00108,제이유통,소비재,화장품,전북,2010,763,스페셜시츄에이션 1호,Special Situation,2018,한승우,실사(DD),,,,556,55.0,9.9,56.0,451.4,8.2,0.81,,,,,,,
DL-00109,대명리빙,소비재,리테일,해외(미국),1985,261,바이아웃 2호 PEF,Buyout,2021,오세훈,투자완료(Active),2024-11-06,199.7,60.2,227,30.2,13.3,82.2,353.2,11.7,1.56,1.6,383.5,1.92,50.7,,,
DL-00110,글로벌랩스,IT/소프트웨어,정보보안,서울,2008,386,그로쓰 3호 PEF,Growth,2022,임수빈,스크리닝(Screening),,,,302,64.9,21.5,224.2,675.3,10.4,2.24,,,,,,,
DL-00111,누리F&B,소비재,식음료,인천,1992,136,벤처그로쓰 1호,Venture,2020,이서준,회수완료(Exited),2022-12-01,130.8,55.3,90,20.4,22.7,16.4,218.6,10.7,2.43,3.5,,2.06,22.7,2026-06-10,269.0,구주매출
DL-00112,에스캐피탈,금융서비스,여신전문,경기,2014,758,세컨더리 1호,Secondary,2023,오세훈,소싱(Sourcing),,,,593,34.4,5.8,0.4,258.0,7.5,0.43,,,,,,,
DL-00113,케이시스템,IT/소프트웨어,SaaS,대전,2015,264,그로쓰 1호 PEF,Growth,2016,이서준,보류/철회(Dropped),,,,119,38.0,31.9,235.8,482.1,12.7,4.05,,,,,,,
